age_bracket,health_bracket,religious_bracket,income_bracket,friends_bracket,happiness,count
3,2,4,3,3,87.5,8
3,2,4,3,4,100,7
3,2,4,4,1,60,10
3,2,4,4,2,75,8
3,2,4,4,3,100,3
3,2,4,4,4,100,3
4,0,0,0,0,28.5714285714286,7
4,0,0,0,1,11.1111111111111,18
4,0,0,0,2,28.5714285714286,7
4,0,0,0,3,37.5,8
4,0,0,0,4,0,2
4,0,0,1,0,0,2
4,0,0,1,1,25,8
4,0,0,1,2,33.3333333333333,3
4,0,0,1,3,50,2
4,0,0,2,1,25,4
4,0,0,2,2,66.6666666666667,3
4,0,0,2,3,0,1
4,0,0,2,4,0,1
4,0,0,3,1,0,3
4,0,0,3,2,33.3333333333333,3
4,0,0,3,3,100,2
4,0,0,3,4,0,1
4,0,0,4,1,100,2
4,0,0,4,2,50,2
4,0,0,4,3,66.6666666666667,3
4,0,0,4,4,0,1
4,0,1,0,0,0,2
4,0,1,0,1,25,4
4,0,1,0,2,25,4
4,0,1,0,3,0,3
4,0,1,0,4,0,2
4,0,1,1,1,0,4
4,0,1,1,2,0,1
4,0,1,2,1,0,1
4,0,1,2,2,66.6666666666667,3
4,0,1,2,3,0,1
4,0,1,2,4,0,2
4,0,1,3,0,0,1
4,0,1,3,1,25,4
4,0,1,3,2,0,1
4,0,1,3,3,100,1
4,0,1,4,2,100,2
4,0,1,4,3,0,1
4,0,2,0,0,0,2
4,0,2,0,1,9.09090909090909,11
4,0,2,0,2,100,2
4,0,2,0,3,50,2
4,0,2,0,4,50,4
4,0,2,1,0,100,1
4,0,2,1,1,25,4
4,0,2,1,2,0,2
4,0,2,1,4,33.3333333333333,3
4,0,2,2,1,25,4
4,0,2,2,2,50,2
4,0,2,2,3,0,3
4,0,2,3,1,0,2
4,0,2,3,2,100,2
4,0,2,3,3,50,4
4,0,2,3,4,100,1
4,0,2,4,1,50,2
4,0,3,0,0,66.6666666666667,3
4,0,3,0,1,33.3333333333333,6
4,0,3,0,2,25,4
